ref_key,code_1c,article,name,full_name,brand,category_l1,category_l2,category_l3,country,composition,weight_g,length,width,unit,color_base_field,size_base_field,size_attribute,recommended_needles,recommended_hook,season,characteristics_mode,nomenclature_type,min_qty_step,has_main_photo,photo_file_guid,has_website_description_file,description_1c,deletion_mark,price_розничная,price_цена_kaspi,price_цена_kaspi_тоо,price_halyk_market,price_интернет_магазин,price_оптовая,price_акция__10%,price_приходная,price_цены_ozon_rub,price_цены_ozon_до_применения_скидки_rub,prices_raw_all,stock_магазин,stock_интернет_магазин,stock_основной_склад,stock_резерв,stock_склад_wolt,stock_total,source
74547f97-45f1-11eb-a79e-000c290ea457,00-00000424,,Bambino Lux Wool,Пряжа Bambino Lux Wool Etrofil,Etrofil,ПРЯЖА,Этрофил (Турция),,Турция,"60% шерсть мериноса, 40% антипиллинг акрил",0,160м,,шт,,,,4,3,осень -зима,ИндивидуальныеДляНоменклатуры,Товар,1,yes,680710ae-46bc-11eb-a79f-000c290ea457,no,Пряжа Bambino Lux Wool Etrofil,False,720,790,8280,810,720,0,,294.06,173,242,Интернет-магазин=720@2025-12-16; Приходная=294.06@2025-01-01; Оптовая=0@2022-09-20; Розничная=720@2025-12-16; Цена Kaspi=790@2025-12-16; Цена Kaspi ТОО=8280@2025-12-16; Halyk Market=810@2025-12-16; Цены OZON (RUB)=173@2025-12-16; Цены OZON до применения скидки (RUB)=242@2025-12-16,4.0,40.0,0,0,9.0,53.0,1C OData live GET (2026-07-09)
47e425e6-469b-11eb-a79f-000c290ea457,00-00000425,,Belgrade,Пряжа Belgrade Etrofil,Etrofil,ПРЯЖА,Этрофил (Турция),,Турция,"10%кид мохер,5%бэби альпака,55%полиамид,30%вискоза",0,150м,,шт,,,,4,3,осень-зима,ИндивидуальныеДляНоменклатуры,Товар,1,yes,179a85c2-1d91-11ef-a7d3-000c290ea457,no,Пряжа Belgrade Etrofil,False,720,808,8280,810,720,0,,472.6,179,251,Интернет-магазин=720@2024-02-20; Оптовая=0@2022-09-20; Розничная=720@2024-02-07; Цена Kaspi=808@2022-10-17; Цена Kaspi ТОО=8280@2022-10-22; Halyk Market=810@2023-08-09; Цены OZON (RUB)=179@2024-07-28; Цены OZON до применения скидки (RUB)=251@2024-07-28; Приходная=472.6@2025-01-01,9.0,159.0,0,0,25.0,193.0,1C OData live GET (2026-07-09)
a2bfd8d1-46b4-11eb-a79f-000c290ea457,00-00000426,,Iceland,Пряжа Iceland Etrofil,Etrofil,ПРЯЖА,Этрофил (Турция),,Турция,"10%кид мохер,5%бэби альпака,55%полиамид,30%вискоза",0,250м,,шт,,,,3,2,осень-зима,ИндивидуальныеДляНоменклатуры,Товар,1,yes,0440c03c-48e7-11eb-a79f-000c290ea457,no,Пряжа Iceland Etrofil,False,720,808,8280,810,720,0,,472.6,179,251,Интернет-магазин=720@2024-02-20; Приходная=472.6@2025-01-01; Оптовая=0@2022-09-20; Розничная=720@2024-02-07; Цена Kaspi=808@2022-10-17; Цена Kaspi ТОО=8280@2022-10-22; Halyk Market=810@2023-08-09; Цены OZON (RUB)=179@2024-07-28; Цены OZON до применения скидки (RUB)=251@2024-07-28,12.0,227.0,0,0,45.0,284.0,1C OData live GET (2026-07-09)
211f2654-e9b7-11ed-a7c9-000c290ea457,00-00002640,Недовес,"Нитки вяз ""Ирис"" 19-20гр",Нитки вязальные Ирис 19-20гр ПНК им. Кирова,ПНК им.Кирова,ПРЯЖА,ПНК Кирова (отд ниток),,Россия,100% мерсеризованный хлопок,0,,,шт,,,,,,,ИндивидуальныеДляНоменклатуры,Товар,1,yes,6b39a4fd-24bb-11ee-a7cd-000c290ea457,no,"Нитки вяз ""Ирис"" 19-20гр",False,530,610,610,595,530,,,,127,178,Интернет-магазин=530@2025-07-23; Розничная=530@2025-07-23; Цена Kaspi=610@2025-07-23; Цена Kaspi ТОО=610@2025-07-23; Halyk Market=595@2025-07-23; Цены OZON (RUB)=127@2025-07-23; Цены OZON до применения скидки (RUB)=178@2025-07-23,66.0,0,91.0,0,0,157.0,1C OData live GET (2026-07-09)
548110c0-1312-11e4-aecb-001999e10e06,0000041823,,"Нитки вяз ""Ирис"" 25гр",Нитки вязальные Ирис 25гр ПНК им. Кирова,ПНК им.Кирова,ПРЯЖА,ПНК Кирова (отд ниток),,,100% мерсеризованный хлопок,25,150м,,шт,,,,,,,ИндивидуальныеДляНоменклатуры,Товар,1,yes,1f2370cf-9690-11ea-be77-000c2922da20,no,Нитки вязальные Ирис 25г,False,660,759,15180,740,660,0,,174.31,159,223,Интернет-магазин=660@2025-07-23; Оптовая=0@2022-09-20; Розничная=660@2025-07-23; Цена Kaspi=759@2025-07-23; Цена Kaspi ТОО=15180@2025-07-23; Halyk Market=740@2025-07-23; Цены OZON (RUB)=159@2025-07-23; Цены OZON до применения скидки (RUB)=223@2025-07-23; Приходная=174.31@2025-01-01,198.0,219.0,19.0,0,0,436.0,1C OData live GET (2026-07-09)
5ad99bb6-1403-11e4-aecb-001999e10e06,0000041872,,"Нитки вяз ""Снежинка"" 25г",Нитки вязальные Снежинка 25г ПНК им.Кирова,ПНК им.Кирова,ПРЯЖА,ПНК Кирова (отд ниток),,,100% хлопок,25,195м,,шт,,4слож,,,,,ИндивидуальныеДляНоменклатуры,Товар,1,yes,aca1a44a-9690-11ea-be77-000c2922da20,no,"Нитки вязальные ""Снежинка"" 25г",False,450,518,518,505,450,0,,,108,151,Интернет-магазин=450@2025-07-23; Оптовая=0@2022-09-20; Розничная=450@2025-07-23; Цена Kaspi=518@2025-07-23; Цена Kaspi ТОО=518@2025-07-23; Halyk Market=505@2025-07-23; Цены OZON (RUB)=108@2025-07-23; Цены OZON до применения скидки (RUB)=151@2025-07-23,0,0,0,0,0,0,1C OData live GET (2026-07-09)
dbb9f8a7-1473-11e4-aecb-001999e10e06,0000041873,,"Нитки вяз ""Снежинка Сверкающая"" 25г",Нитки вязальные Снежинка Сверкающая 25г ПНК им.Кирова,ПНК им.Кирова,ПРЯЖА,ПНК Кирова (отд ниток),,,92% хлопок 8% люрекс,25,195м,,шт,,,,,,,ИндивидуальныеДляНоменклатуры,Товар,1,yes,b5828de7-9690-11ea-be77-000c2922da20,no,Нитки вязальные Снежинка Сверкающая 25г,False,440,493,10120,495,440,0,,126.59,109,153,Интернет-магазин=440@2024-02-20; Приходная=126.59@2025-01-01; Оптовая=0@2022-09-20; Розничная=440@2024-02-07; Цена Kaspi=493@2023-09-22; Цена Kaspi ТОО=10120@2023-09-22; Halyk Market=495@2023-09-22; Цены OZON (RUB)=109@2024-07-28; Цены OZON до применения скидки (RUB)=153@2024-07-28,5.0,1.0,0,0,0,6.0,1C OData live GET (2026-07-09)
e21803a2-f958-11e4-b375-001999e10e06,0000045022,,"Нитки вяз ""Сирень"" 25г",Нитки вязальные Сирень 25г ПНК им. Кирова,ПНК им.Кирова,ПРЯЖА,ПНК Кирова (отд ниток),,,100% хлопок,25,215м,,шт,,,,,,,ИндивидуальныеДляНоменклатуры,Товар,1,yes,a343cc1d-9690-11ea-be77-000c2922da20,no,Нитки вязальные Сирень 25г,False,440,493,506,495,440,0,,,109,153,Интернет-магазин=440@2024-02-20; Оптовая=0@2022-09-20; Розничная=440@2024-02-07; Цена Kaspi=493@2023-09-22; Цена Kaspi ТОО=506@2023-09-22; Halyk Market=495@2023-09-22; Цены OZON (RUB)=109@2024-07-28; Цены OZON до применения скидки (RUB)=153@2024-07-28,6.0,3.0,1.0,0,0,10.0,1C OData live GET (2026-07-09)
598adb24-960b-11e8-812c-94b03fa0b9e1,0000053834,новая,Пряжа уценка,Пряжа уценка,,ПРЯЖА,Пряжа уценка,,,,0,,,шт,цв,,,,,,ИндивидуальныеДляНоменклатуры,Товар,0,no,00000000-0000-0000-0000-000000000000,no,Пряжа уценка,False,1758,2022,2022,1970,1760,0,,,461,645,Интернет-магазин=1760@2026-07-07; Оптовая=0@2022-02-23; Розничная=1758@2026-07-07; Цена Kaspi=2022@2026-07-07; Цена Kaspi ТОО=2022@2026-07-07; Halyk Market=1970@2026-07-07; Цены OZON (RUB)=461@2026-07-07; Цены OZON до применения скидки (RUB)=645@2026-07-07,21.0,0,0,0,0,21.0,1C OData live GET (2026-07-09)
2044ed1a-fefc-11ea-be8e-000c2922da20,00-00000055,,Angora Gold Ombre Batik,Пряжа Angora Gold Ombre Batik Alize,Alize,ПРЯЖА,Ализе (Турция),,Россия,"80% акрил, 20% шерсть",0,825м,,шт,,,,"3,0 - 6,0","2,0 - 4,0",Осень - зима,ИндивидуальныеДляНоменклатуры,Товар,1,yes,8da2af1a-0181-11eb-80ec-c5b76a2de9fc,no,"Турецкая Пряжа Angora Gold Ombre Batik состоит из 20% шерсти и 80% акрила. Длина нити 825 метров, вес мотка 150 г., в упаковке 4 штуки. Омбре — это модный вид секционного окрашивания ниток двух основных цветов с плавным переходом оттенков от темного к светлому. Нить пружинистая, средней крутки, средней плотности, эластичная, пушистая, мягкая, тонкая, в мотке уложена слоями, небольшой ворс придает пряже легкости. Есть небольшая колкость, полотно смягчается после стирки, не дает усадки, не деформируется. У нити очень экономный расход. Нить ложится ровно, хорошо скользит, сложно распускать. Идеальна для вязания тёплых осенне-зимних вещей: шалей, платков, платьев, юбок, палантинов, кардиганов, пуловеров, шапок, беретов, джемперов, варежек, а также модных украшений и аксессуаров, где будет выигрышно смотреться градиент. Рекомендации по уходу: деликатная ручная стирка при 30С, не отжимать в стиральной машине, не отбеливать, сушить на горизонтальной поверхности. Глажение на минимальной температуре. Подходит для вязания спицами и крючком: рекомендованные спицы No3-6; крючок No2-4.",False,2000,2300,2300,2240,2000,0,,1018.71,480,672,Интернет-магазин=2000@2025-11-28; Приходная=1018.71@2025-01-01; Оптовая=0@2022-09-20; Розничная=2000@2025-11-28; Цена Kaspi=2300@2025-11-28; Цена Kaspi ТОО=2300@2025-11-28; Halyk Market=2240@2025-11-28; Цены OZON (RUB)=480@2025-11-28; Цены OZON до применения скидки (RUB)=672@2025-11-28,0,0,0,0,0,0,1C OData live GET (2026-07-09)
